Gene ID	Human associated gene name	Human gene stable ID
ENSMUSG00000065228	SNORD81	ENSG00000202023
ENSMUSG00000087719		
ENSMUSG00000033597	CASKIN1	ENSG00000167971
ENSMUSG00000094730	RNU6-140P	ENSG00000207296
ENSMUSG00000088715		
ENSMUSG00000076312		
ENSMUSG00000095023		
ENSMUSG00000089079		
ENSMUSG00000105902		
ENSMUSG00000019977	HBS1L	ENSG00000112339
ENSMUSG00000088099		
ENSMUSG00000065431		
ENSMUSG00000092835	RNU1-64P	ENSG00000202313
ENSMUSG00000065660		
ENSMUSG00000087951		
ENSMUSG00000088950		
ENSMUSG00000033187	C3orf52	ENSG00000114529
ENSMUSG00000073563	CSNK1G3	ENSG00000151292
ENSMUSG00000088200		
ENSMUSG00000080396	SNORD111	ENSG00000221066
ENSMUSG00000106649		
ENSMUSG00000068227	IL2RB	ENSG00000100385
ENSMUSG00000076039		
ENSMUSG00000098602		
ENSMUSG00000094099		
ENSMUSG00000077188		
ENSMUSG00000053825	PPFIA2	ENSG00000139220
ENSMUSG00000084449	RNU6-696P	ENSG00000212136
ENSMUSG00000064728		
ENSMUSG00000084654		
ENSMUSG00000088643	RNU6-1236P	ENSG00000252889
ENSMUSG00000065514		
ENSMUSG00000088323	SCARNA18B	ENSG00000238754
ENSMUSG00000093241		
ENSMUSG00000105863	SNORA17	ENSG00000212589
ENSMUSG00000105863	SNORA17	ENSG00000212461
ENSMUSG00000105863	SNORA17	ENSG00000281808
ENSMUSG00000092956		
ENSMUSG00000058152	CHSY3	ENSG00000198108
ENSMUSG00000084713		
ENSMUSG00000022463	SREBF2	ENSG00000198911
ENSMUSG00000077567		
ENSMUSG00000065083	RNA5SP123	ENSG00000200114
ENSMUSG00000025401	MYO1A	ENSG00000166866
ENSMUSG00000065889		
ENSMUSG00000094621		
ENSMUSG00000095220		
ENSMUSG00000077938		
ENSMUSG00000065656		
ENSMUSG00000089279		
ENSMUSG00000095894		
ENSMUSG00000034532	FBXO16	ENSG00000214050
ENSMUSG00000065564		
ENSMUSG00000022607	PTK2	ENSG00000169398
ENSMUSG00000088045		
ENSMUSG00000105455		
ENSMUSG00000088533		
ENSMUSG00000089480		
ENSMUSG00000099129		
ENSMUSG00000088114	SNORA72	ENSG00000207067
ENSMUSG00000076313		
ENSMUSG00000089491		
ENSMUSG00000072625	GDF2	ENSG00000263761
ENSMUSG00000084513	RNA5SP60	ENSG00000222552
ENSMUSG00000084513	RNA5SP343	ENSG00000200649
ENSMUSG00000084513	RNA5SP116	ENSG00000251941
ENSMUSG00000084513	RNA5SP138	ENSG00000201968
ENSMUSG00000084513	RNA5SP332	ENSG00000212365
ENSMUSG00000084513	RNA5SP354	ENSG00000212549
ENSMUSG00000084513	RNA5SP251	ENSG00000222546
ENSMUSG00000084513	RNA5SP238	ENSG00000202334
ENSMUSG00000084513	RNA5SP511	ENSG00000222419
ENSMUSG00000084513	RNA5SP387	ENSG00000201096
ENSMUSG00000084513	RNA5SP39	ENSG00000223177
ENSMUSG00000084513	RNA5SP259	ENSG00000202411
ENSMUSG00000084513	RNA5SP399	ENSG00000200873
ENSMUSG00000084513	RNA5SP401	ENSG00000251729
ENSMUSG00000092961		
ENSMUSG00000094112		
ENSMUSG00000088278	RNU1-123P	ENSG00000239194
ENSMUSG00000088553		
ENSMUSG00000095112	U6	ENSG00000283575
ENSMUSG00000088624		
ENSMUSG00000101392		
ENSMUSG00000104848	SNORA17A	ENSG00000274998
ENSMUSG00000089313		
ENSMUSG00000065130		
ENSMUSG00000022353	MTSS1	ENSG00000170873
ENSMUSG00000095070		
ENSMUSG00000089475		
ENSMUSG00000093974	SNORD116-1	ENSG00000207063
ENSMUSG00000093974	SNORD116-8	ENSG00000207093
ENSMUSG00000093974	SNORD116-7	ENSG00000207133
ENSMUSG00000093974	SNORD116-3	ENSG00000207014
ENSMUSG00000093974	SNORD116-2	ENSG00000207001
ENSMUSG00000093974	SNORD116-9	ENSG00000206727
ENSMUSG00000093974	SNORD116-5	ENSG00000207191
ENSMUSG00000093974	SNORD116-6	ENSG00000207442
ENSMUSG00000093974	SNORD116-4	ENSG00000275529
ENSMUSG00000057650		
ENSMUSG00000084549		
ENSMUSG00000054409	TMEM74	ENSG00000164841
ENSMUSG00000098653		
ENSMUSG00000095898	RNU6-748P	ENSG00000207378
ENSMUSG00000096660	SNORD116-1	ENSG00000207063
ENSMUSG00000096660	SNORD116-8	ENSG00000207093
ENSMUSG00000096660	SNORD116-7	ENSG00000207133
ENSMUSG00000096660	SNORD116-3	ENSG00000207014
ENSMUSG00000096660	SNORD116-2	ENSG00000207001
ENSMUSG00000096660	SNORD116-9	ENSG00000206727
ENSMUSG00000096660	SNORD116-5	ENSG00000207191
ENSMUSG00000096660	SNORD116-6	ENSG00000207442
ENSMUSG00000096660	SNORD116-4	ENSG00000275529
ENSMUSG00000065464		
ENSMUSG00000071340	TRAPPC3L	ENSG00000173626
ENSMUSG00000088922	RNU6-933P	ENSG00000207153
ENSMUSG00000070175	RNU6-867P	ENSG00000201826
ENSMUSG00000065147	SNORA31	ENSG00000199477
ENSMUSG00000077153		
ENSMUSG00000084696		
ENSMUSG00000064722	SNORA44	ENSG00000273544
ENSMUSG00000050945	ZNF438	ENSG00000183621
ENSMUSG00000088855	RNU6-1016P	ENSG00000252498
ENSMUSG00000022089	BIN3	ENSG00000147439
ENSMUSG00000065337		
ENSMUSG00000104773		
ENSMUSG00000096431	SNORD116-1	ENSG00000207063
ENSMUSG00000096431	SNORD116-8	ENSG00000207093
ENSMUSG00000096431	SNORD116-7	ENSG00000207133
ENSMUSG00000096431	SNORD116-3	ENSG00000207014
ENSMUSG00000096431	SNORD116-2	ENSG00000207001
ENSMUSG00000096431	SNORD116-9	ENSG00000206727
ENSMUSG00000096431	SNORD116-5	ENSG00000207191
ENSMUSG00000096431	SNORD116-6	ENSG00000207442
ENSMUSG00000096431	SNORD116-4	ENSG00000275529
ENSMUSG00000093132		
ENSMUSG00000098769		
ENSMUSG00000084661		
ENSMUSG00000088241		
ENSMUSG00000089133	SNORA17	ENSG00000212589
ENSMUSG00000089133	SNORA17	ENSG00000212461
ENSMUSG00000089133	SNORA17	ENSG00000281808
ENSMUSG00000099209	TP53TG1_2	ENSG00000276185
ENSMUSG00000093073		
ENSMUSG00000065034		
ENSMUSG00000089432		
ENSMUSG00000089333		
ENSMUSG00000088686		
ENSMUSG00000064579	RNU1-54P	ENSG00000252990
ENSMUSG00000077085		
ENSMUSG00000065274		
ENSMUSG00000039357	FUT11	ENSG00000196968
ENSMUSG00000088257		
ENSMUSG00000084524	Y_RNA	ENSG00000206660
ENSMUSG00000084524	Y_RNA	ENSG00000206895
ENSMUSG00000084524	Y_RNA	ENSG00000207488
ENSMUSG00000084524	Y_RNA	ENSG00000206704
ENSMUSG00000084524	Y_RNA	ENSG00000207391
ENSMUSG00000084524	Y_RNA	ENSG00000207481
ENSMUSG00000084524	Y_RNA	ENSG00000199764
ENSMUSG00000084524	Y_RNA	ENSG00000207525
ENSMUSG00000084524	Y_RNA	ENSG00000207069
ENSMUSG00000084524	Y_RNA	ENSG00000200769
ENSMUSG00000084524	Y_RNA	ENSG00000200041
ENSMUSG00000084524	Y_RNA	ENSG00000212569
ENSMUSG00000084524	Y_RNA	ENSG00000201774
ENSMUSG00000084524	Y_RNA	ENSG00000200508
ENSMUSG00000084524	Y_RNA	ENSG00000252744
ENSMUSG00000084524	Y_RNA	ENSG00000206905
ENSMUSG00000084524	Y_RNA	ENSG00000207293
ENSMUSG00000084524	Y_RNA	ENSG00000200118
ENSMUSG00000084524	Y_RNA	ENSG00000207218
ENSMUSG00000084524	Y_RNA	ENSG00000199201
ENSMUSG00000084524	Y_RNA	ENSG00000201987
ENSMUSG00000084524	Y_RNA	ENSG00000202368
ENSMUSG00000084524	Y_RNA	ENSG00000199490
ENSMUSG00000084524	Y_RNA	ENSG00000201134
ENSMUSG00000084524	Y_RNA	ENSG00000207173
ENSMUSG00000084524	Y_RNA	ENSG00000206676
ENSMUSG00000084524	Y_RNA	ENSG00000207484
ENSMUSG00000084524	Y_RNA	ENSG00000202279
ENSMUSG00000084524	Y_RNA	ENSG00000202144
ENSMUSG00000084524	Y_RNA	ENSG00000201566
ENSMUSG00000084524	Y_RNA	ENSG00000207387
ENSMUSG00000084524	Y_RNA	ENSG00000206982
ENSMUSG00000084524	Y_RNA	ENSG00000206817
ENSMUSG00000084524	Y_RNA	ENSG00000252064
ENSMUSG00000084524	Y_RNA	ENSG00000200164
ENSMUSG00000084524	Y_RNA	ENSG00000206699
ENSMUSG00000084524	Y_RNA	ENSG00000200162
ENSMUSG00000065138		
ENSMUSG00000093365		
ENSMUSG00000024622	HMGXB3	ENSG00000113716
ENSMUSG00000084667	SNORD44	ENSG00000200072
ENSMUSG00000106307	SCARNA4	ENSG00000281516
ENSMUSG00000106307	SCARNA4	ENSG00000281394
ENSMUSG00000089427		
ENSMUSG00000089152		
ENSMUSG00000084551	RNU6-519P	ENSG00000222522
ENSMUSG00000084547		
ENSMUSG00000055065	DDX17	ENSG00000100201
ENSMUSG00000084682	RN7SKP268	ENSG00000223039
ENSMUSG00000076459		
ENSMUSG00000094510		
ENSMUSG00000088833		
ENSMUSG00000022557	BOP1	ENSG00000261236
ENSMUSG00000022114	SPRY2	ENSG00000136158
ENSMUSG00000088985		
ENSMUSG00000088879	RNU6-857P	ENSG00000251702
ENSMUSG00000088879	RNU6-678P	ENSG00000252641
ENSMUSG00000093219		
ENSMUSG00000038071		
ENSMUSG00000089409		
ENSMUSG00000093112	RN7SL396P	ENSG00000244642
ENSMUSG00000093112	RN7SL767P	ENSG00000241529
ENSMUSG00000093112	RN7SL674P	ENSG00000239899
ENSMUSG00000106088		
ENSMUSG00000043391	C3orf70	ENSG00000187068
ENSMUSG00000089514		
ENSMUSG00000106138		
ENSMUSG00000095147		
ENSMUSG00000076407		
ENSMUSG00000065273	SNORD83	ENSG00000223294
ENSMUSG00000065273	SNORD117	ENSG00000201785
ENSMUSG00000080428		
ENSMUSG00000096307		
ENSMUSG00000098583		
ENSMUSG00000088480	RNU6-777P	ENSG00000201135
ENSMUSG00000065311		
ENSMUSG00000022091	SORBS3	ENSG00000120896
ENSMUSG00000064814	SNORA32	ENSG00000207503
ENSMUSG00000064814	SNORA32	ENSG00000201384
ENSMUSG00000098940	RNU4-22P	ENSG00000222990
ENSMUSG00000073460	PNLDC1	ENSG00000146453
ENSMUSG00000105997		
ENSMUSG00000062397	ZNF706	ENSG00000120963
ENSMUSG00000096341		
ENSMUSG00000089499	RNU6-579P	ENSG00000252688
ENSMUSG00000087722		
ENSMUSG00000099135	SNORA7	ENSG00000222604
ENSMUSG00000099135	SNORA7	ENSG00000206913
ENSMUSG00000099135	SNORA7	ENSG00000201316
ENSMUSG00000099135	SNORA7	ENSG00000206976
ENSMUSG00000099135	SNORA7	ENSG00000200620
ENSMUSG00000092776		
ENSMUSG00000004789	DLST	ENSG00000119689
ENSMUSG00000095723		
ENSMUSG00000098327		
ENSMUSG00000054648		
ENSMUSG00000094381		
ENSMUSG00000084453	RNU6-23P	ENSG00000200153
ENSMUSG00000084453	RNU6-28P	ENSG00000199248
ENSMUSG00000065585		
ENSMUSG00000065238	RNU2-63P	ENSG00000222724
ENSMUSG00000098665	TUSC7	ENSG00000278072
ENSMUSG00000088227	RNU6-201P	ENSG00000252909
ENSMUSG00000089529	RN7SKP194	ENSG00000223260
ENSMUSG00000089529	RN7SKP28	ENSG00000201640
ENSMUSG00000099039	DLEU1_2	ENSG00000273541
ENSMUSG00000022902	CSTA	ENSG00000121552
ENSMUSG00000065289	SNORD56	ENSG00000229686
ENSMUSG00000089306	RNU6-352P	ENSG00000252717
ENSMUSG00000093113		
ENSMUSG00000092932		
ENSMUSG00000065763	RNU6-1238P	ENSG00000253024
ENSMUSG00000065763	RNU6-298P	ENSG00000212190
ENSMUSG00000065763	RNU6-1231P	ENSG00000252994
ENSMUSG00000065763	RNU6-518P	ENSG00000251865
ENSMUSG00000065763	RNU6-1077P	ENSG00000222438
ENSMUSG00000065763	RNU6-783P	ENSG00000252519
ENSMUSG00000084666		
ENSMUSG00000088273		
ENSMUSG00000019787	TRDN	ENSG00000186439
ENSMUSG00000065373		
ENSMUSG00000065481		
ENSMUSG00000077196		
ENSMUSG00000084451	RNU4-53P	ENSG00000222760
ENSMUSG00000084451	RNU4-18P	ENSG00000252560
ENSMUSG00000084451	RNU4-39P	ENSG00000199325
ENSMUSG00000084451	RNU4-87P	ENSG00000200974
ENSMUSG00000084451	RNU4-34P	ENSG00000222363
ENSMUSG00000084451	RNU4-55P	ENSG00000222663
ENSMUSG00000084451	RNU4-33P	ENSG00000201186
ENSMUSG00000065602		
ENSMUSG00000089311		
ENSMUSG00000033065	PFKM	ENSG00000152556
ENSMUSG00000088361		
ENSMUSG00000095119		
ENSMUSG00000088233	SNORA63	ENSG00000202449
ENSMUSG00000088233	SNORA63	ENSG00000252448
ENSMUSG00000088799	RNA5SP404	ENSG00000252927
ENSMUSG00000022551	CYC1	ENSG00000179091
ENSMUSG00000043460	ELFN2	ENSG00000166897
ENSMUSG00000077306		
ENSMUSG00000087734	RNU6-808P	ENSG00000212535
ENSMUSG00000077941		
ENSMUSG00000064398	RNU2-43P	ENSG00000222238
ENSMUSG00000014496	ANKRD28	ENSG00000206560
ENSMUSG00000016637	IFT27	ENSG00000100360
ENSMUSG00000092794		
ENSMUSG00000071547	NT5DC2	ENSG00000168268
ENSMUSG00000098817		
ENSMUSG00000098339		
ENSMUSG00000077110		
ENSMUSG00000096028		
ENSMUSG00000077776		
ENSMUSG00000095616		
ENSMUSG00000024346	PFDN1	ENSG00000113068
ENSMUSG00000080498		
ENSMUSG00000105367		
ENSMUSG00000084435	RNU4-92P	ENSG00000200653
ENSMUSG00000084435	RNU4-50P	ENSG00000201231
ENSMUSG00000084435	RNU4-24P	ENSG00000201435
ENSMUSG00000084435	RNU4-10P	ENSG00000201253
ENSMUSG00000084435	RNU4-51P	ENSG00000201076
ENSMUSG00000084435	RNU4-12P	ENSG00000202103
ENSMUSG00000053560	IER2	ENSG00000160888
ENSMUSG00000088803		
ENSMUSG00000064632	RNU6-87P	ENSG00000272028
ENSMUSG00000064632	RNU6-235P	ENSG00000199514
ENSMUSG00000096184		
ENSMUSG00000094663		
ENSMUSG00000020178	ADORA2A	ENSG00000128271
ENSMUSG00000095336		
ENSMUSG00000095871		
ENSMUSG00000094481		
ENSMUSG00000094270	RNA5S5	ENSG00000199396
ENSMUSG00000088213		
ENSMUSG00000087999		
ENSMUSG00000043982		
ENSMUSG00000098974	NEAT1_2	ENSG00000278050
ENSMUSG00000077903		
ENSMUSG00000095278		
ENSMUSG00000064845		
ENSMUSG00000064788		
ENSMUSG00000077472	SNORA17	ENSG00000212589
ENSMUSG00000077472	SNORA17	ENSG00000212461
ENSMUSG00000077472	SNORA17	ENSG00000281808
ENSMUSG00000096349		
ENSMUSG00000089586		
ENSMUSG00000073807		
ENSMUSG00000088145	SNORA17	ENSG00000212589
ENSMUSG00000088145	SNORA17	ENSG00000212461
ENSMUSG00000088145	SNORA17	ENSG00000281808
ENSMUSG00000064739		
ENSMUSG00000065515		
ENSMUSG00000098922		
ENSMUSG00000077643	SNORA17	ENSG00000212589
ENSMUSG00000077643	SNORA17	ENSG00000212461
ENSMUSG00000077643	SNORA17	ENSG00000281808
ENSMUSG00000088628		
ENSMUSG00000044526	ZNRF4	ENSG00000105428
ENSMUSG00000033307	MIF	ENSG00000240972
ENSMUSG00000088083		
ENSMUSG00000064511	SNORA32	ENSG00000207503
ENSMUSG00000064511	SNORA32	ENSG00000201384
ENSMUSG00000065483		
ENSMUSG00000087881	SCARNA21	ENSG00000252835
ENSMUSG00000095037		
ENSMUSG00000089493		
ENSMUSG00000033318	GSTT2	ENSG00000099984
ENSMUSG00000033318	GSTT2B	ENSG00000133433
ENSMUSG00000092734		
ENSMUSG00000071528	USMG5	ENSG00000173915
ENSMUSG00000078027		
ENSMUSG00000022075	RHOBTB2	ENSG00000008853
ENSMUSG00000095395	SNORA17A	ENSG00000274998
ENSMUSG00000105569		
ENSMUSG00000088793	RNU6-810P	ENSG00000200871
ENSMUSG00000105770		
ENSMUSG00000023963	CYP39A1	ENSG00000146233
ENSMUSG00000064999	RN7SKP15	ENSG00000201612
ENSMUSG00000088359		
ENSMUSG00000094695	RP11-195F19.5	ENSG00000187186
ENSMUSG00000088983		
ENSMUSG00000095722		
ENSMUSG00000095342		
ENSMUSG00000096346		
ENSMUSG00000092647		
ENSMUSG00000021820	CAMK2G	ENSG00000148660
ENSMUSG00000084598	RN7SKP26	ENSG00000222179
ENSMUSG00000089124		
ENSMUSG00000070107		
ENSMUSG00000076041		
ENSMUSG00000022109	MED4	ENSG00000136146
ENSMUSG00000092799		
ENSMUSG00000099228		
ENSMUSG00000070129		
ENSMUSG00000065410		
ENSMUSG00000096357		
ENSMUSG00000094791		
ENSMUSG00000021999	CPB2	ENSG00000080618
ENSMUSG00000077574		
ENSMUSG00000025429	PSTPIP2	ENSG00000152229
ENSMUSG00000065151	SNORA67	ENSG00000252473
ENSMUSG00000095666		
ENSMUSG00000024301	KIFC1	ENSG00000237649
ENSMUSG00000079374		
ENSMUSG00000084633		
ENSMUSG00000094869		
ENSMUSG00000098392	RNA5SP250	ENSG00000199404
ENSMUSG00000098392	RNA5SP89	ENSG00000222232
ENSMUSG00000096095	SNORD116-1	ENSG00000207063
ENSMUSG00000096095	SNORD116-8	ENSG00000207093
ENSMUSG00000096095	SNORD116-7	ENSG00000207133
ENSMUSG00000096095	SNORD116-3	ENSG00000207014
ENSMUSG00000096095	SNORD116-2	ENSG00000207001
ENSMUSG00000096095	SNORD116-9	ENSG00000206727
ENSMUSG00000096095	SNORD116-5	ENSG00000207191
ENSMUSG00000096095	SNORD116-6	ENSG00000207442
ENSMUSG00000096095	SNORD116-4	ENSG00000275529
ENSMUSG00000084441		
ENSMUSG00000052031		
ENSMUSG00000088335	SNORA25	ENSG00000200536
ENSMUSG00000002329	NEDD8-MDP1	ENSG00000255526
ENSMUSG00000002329	MDP1	ENSG00000213920
ENSMUSG00000089297		
ENSMUSG00000037972	SNN	ENSG00000184602
ENSMUSG00000065282	SNORA18	ENSG00000207145
ENSMUSG00000022435	UPK3A	ENSG00000100373
ENSMUSG00000105312		
ENSMUSG00000022946	DOPEY2	ENSG00000142197
ENSMUSG00000088647	RNU6-1156P	ENSG00000222297
ENSMUSG00000098329		
ENSMUSG00000072294	KLF12	ENSG00000118922
ENSMUSG00000024451	ARAP3	ENSG00000120318
ENSMUSG00000024610	CD74	ENSG00000019582
ENSMUSG00000053617	SH3PXD2A	ENSG00000107957
ENSMUSG00000077836		
ENSMUSG00000024066	XDH	ENSG00000158125
ENSMUSG00000088308	SCARNA18	ENSG00000238835
ENSMUSG00000024127	PREPL	ENSG00000138078
ENSMUSG00000064436	RNU1-17P	ENSG00000199892
ENSMUSG00000098415		
ENSMUSG00000023938	AARS2	ENSG00000124608
ENSMUSG00000098660		
ENSMUSG00000088297		
ENSMUSG00000093170		
ENSMUSG00000022180	SLC7A8	ENSG00000092068
ENSMUSG00000098397		
ENSMUSG00000089593	RNU6-1212P	ENSG00000252832
ENSMUSG00000022111	UCHL3	ENSG00000118939
ENSMUSG00000077268	SNORA17	ENSG00000212589
ENSMUSG00000077268	SNORA17	ENSG00000212461
ENSMUSG00000077268	SNORA17	ENSG00000281808
ENSMUSG00000023169	SLC38A1	ENSG00000111371
ENSMUSG00000095500	SP140	ENSG00000079263
ENSMUSG00000022685	PARN	ENSG00000140694
ENSMUSG00000093013		
ENSMUSG00000096547		
ENSMUSG00000088304		
ENSMUSG00000089046		
ENSMUSG00000077652	RNU1-106P	ENSG00000207110
ENSMUSG00000024137	E4F1	ENSG00000167967
ENSMUSG00000094037		
ENSMUSG00000022468	ENDOU	ENSG00000111405
ENSMUSG00000046748	TMEM45A	ENSG00000181458
ENSMUSG00000088994	RN7SKP128	ENSG00000201140
ENSMUSG00000095886		
ENSMUSG00000034127	TSPAN8	ENSG00000127324
ENSMUSG00000033102	CDC14B	ENSG00000081377
ENSMUSG00000055839	TCEB2	ENSG00000103363
ENSMUSG00000046230	VPS13A	ENSG00000197969
ENSMUSG00000079353		
ENSMUSG00000047492	INHBE	ENSG00000139269
ENSMUSG00000020642	RNF144A	ENSG00000151692
ENSMUSG00000033991	TTC37	ENSG00000198677
ENSMUSG00000039109	F13A1	ENSG00000124491
ENSMUSG00000067586	S1PR3	ENSG00000213694
ENSMUSG00000047911	NPM2	ENSG00000158806
ENSMUSG00000091580		
ENSMUSG00000078485	PLEKHN1	ENSG00000187583
ENSMUSG00000023905	TNFRSF12A	ENSG00000006327
ENSMUSG00000021811	DNAJC9	ENSG00000213551
ENSMUSG00000094498		
ENSMUSG00000043631	ECM2	ENSG00000106823
ENSMUSG00000058172		
ENSMUSG00000024256	ADCYAP1	ENSG00000141433
ENSMUSG00000078488		
ENSMUSG00000037594	C14orf79	ENSG00000140104
ENSMUSG00000025157	ZDHHC16	ENSG00000171307
ENSMUSG00000024846	CST6	ENSG00000175315
ENSMUSG00000047025	CCER1	ENSG00000197651
ENSMUSG00000095677	DYNLT1	ENSG00000146425
ENSMUSG00000041215	YEATS2	ENSG00000163872
ENSMUSG00000040717	IL17RD	ENSG00000144730
ENSMUSG00000071716		
ENSMUSG00000024841	EIF1AD	ENSG00000175376
ENSMUSG00000094514	SP100	ENSG00000067066
ENSMUSG00000058281		
ENSMUSG00000044461	SHISA2	ENSG00000180730
ENSMUSG00000048856	SLC25A47	ENSG00000140107
ENSMUSG00000070081		
ENSMUSG00000025405	INHBC	ENSG00000175189
ENSMUSG00000056612	PPP1R14B	ENSG00000173457
ENSMUSG00000021133	SUSD6	ENSG00000100647
ENSMUSG00000093780		
ENSMUSG00000037579	KCNH3	ENSG00000135519
ENSMUSG00000077462		
ENSMUSG00000020087	TYSND1	ENSG00000156521
ENSMUSG00000024082	NDUFAF7	ENSG00000003509
ENSMUSG00000039367	SEC24C	ENSG00000176986
ENSMUSG00000088658	RNU6-624P	ENSG00000200281
ENSMUSG00000091053		
ENSMUSG00000067627		
ENSMUSG00000106409		
ENSMUSG00000024790	SAC3D1	ENSG00000168061
ENSMUSG00000080486	SNORD100	ENSG00000221500
ENSMUSG00000024989	CEP55	ENSG00000138180
ENSMUSG00000021537	CETN3	ENSG00000153140
ENSMUSG00000084459		
ENSMUSG00000091900	NUP35	ENSG00000163002
ENSMUSG00000024069	SLC30A6	ENSG00000152683
ENSMUSG00000046961	GPR156	ENSG00000175697
ENSMUSG00000063277		
ENSMUSG00000095738	RNU5B-1	ENSG00000200156
ENSMUSG00000035923	MYF6	ENSG00000111046
ENSMUSG00000079438		
ENSMUSG00000084532	RNA5SP400	ENSG00000252964
ENSMUSG00000079764		
ENSMUSG00000077696	RNA5SP158	ENSG00000222230
ENSMUSG00000021044	ADCK1	ENSG00000063761
ENSMUSG00000096018	RNU6-157P	ENSG00000206684
ENSMUSG00000020132	RAB21	ENSG00000080371
ENSMUSG00000022992	KANSL2	ENSG00000139620
ENSMUSG00000093208		
ENSMUSG00000077420		
ENSMUSG00000091938	CCL19	ENSG00000172724
ENSMUSG00000099300		
ENSMUSG00000020029	NUDT4	ENSG00000173598
ENSMUSG00000096790		
ENSMUSG00000077356		
ENSMUSG00000023949	TCTE1	ENSG00000146221
ENSMUSG00000084479	RNU6-999P	ENSG00000251754
ENSMUSG00000093173		
ENSMUSG00000020948	KLHL28	ENSG00000179454
ENSMUSG00000045930	CLEC14A	ENSG00000176435
ENSMUSG00000076370		
ENSMUSG00000060950	TRMT61A	ENSG00000166166
ENSMUSG00000067279	PPP1R3C	ENSG00000119938
ENSMUSG00000024423	IMPACT	ENSG00000154059
ENSMUSG00000041057	WDR43	ENSG00000163811
ENSMUSG00000065555		
ENSMUSG00000065807	RNU6-403P	ENSG00000200033
ENSMUSG00000088543	RNU1-47P	ENSG00000199836
ENSMUSG00000024713	PCSK5	ENSG00000099139
ENSMUSG00000065845		
ENSMUSG00000098647		
ENSMUSG00000088790		
ENSMUSG00000089145		
ENSMUSG00000087946		
ENSMUSG00000035798	ZDHHC17	ENSG00000186908
ENSMUSG00000080330		
ENSMUSG00000036904	FZD8	ENSG00000177283
ENSMUSG00000105908		
ENSMUSG00000088577		
ENSMUSG00000077703		
ENSMUSG00000089304	SNORA17	ENSG00000212589
ENSMUSG00000089304	SNORA17	ENSG00000212461
ENSMUSG00000089304	SNORA17	ENSG00000281808
ENSMUSG00000076357		
ENSMUSG00000084432	RN7SKP242	ENSG00000251776
ENSMUSG00000021799	OPN4	ENSG00000122375
ENSMUSG00000098342	GNAS-AS1_5	ENSG00000275069
ENSMUSG00000089317	SNORD123	ENSG00000239112
ENSMUSG00000084506		
ENSMUSG00000076030		
ENSMUSG00000067614	KRT86	ENSG00000170442
ENSMUSG00000067614	KRT81	ENSG00000205426
ENSMUSG00000067614	KRT83	ENSG00000170523
ENSMUSG00000070084		
ENSMUSG00000095971	SNORA17	ENSG00000212589
ENSMUSG00000095971	SNORA17	ENSG00000212461
ENSMUSG00000095971	SNORA17	ENSG00000281808
ENSMUSG00000099323	PART1_1	ENSG00000273701
ENSMUSG00000077004		
ENSMUSG00000098259		
ENSMUSG00000080350		
ENSMUSG00000076256		
ENSMUSG00000065804		
ENSMUSG00000099075		
ENSMUSG00000039601	RCAN2	ENSG00000172348
ENSMUSG00000025354	DNAJC14	ENSG00000135392
ENSMUSG00000025354	RP11-762I7.5	ENSG00000257390
ENSMUSG00000098489		
ENSMUSG00000092847		
ENSMUSG00000077259		
ENSMUSG00000077402		
ENSMUSG00000096564	RNU6-1098P	ENSG00000252581
ENSMUSG00000076233		
ENSMUSG00000075908	RNU6-132P	ENSG00000206590
ENSMUSG00000075908	RNU6-558P	ENSG00000201382
ENSMUSG00000093032		
ENSMUSG00000065865	RNU1-33P	ENSG00000201119
ENSMUSG00000073233		
ENSMUSG00000089038	RNA5SP49	ENSG00000252259
ENSMUSG00000077795		
ENSMUSG00000077728		
ENSMUSG00000036613	TSSC1	ENSG00000032389
ENSMUSG00000088028	RN7SKP177	ENSG00000222499
ENSMUSG00000012017	SCARF2	ENSG00000244486
ENSMUSG00000077730	SNORA17	ENSG00000212589
ENSMUSG00000077730	SNORA17	ENSG00000212461
ENSMUSG00000077730	SNORA17	ENSG00000281808
ENSMUSG00000088060		
ENSMUSG00000095645	RNA5S12	ENSG00000199270
ENSMUSG00000096182		
ENSMUSG00000077449		
ENSMUSG00000098385		
ENSMUSG00000024754	TMEM2	ENSG00000135048
ENSMUSG00000096694		
ENSMUSG00000061654	SPRY3	ENSG00000168939
ENSMUSG00000095477		
ENSMUSG00000093011		
ENSMUSG00000061911	MYT1L	ENSG00000186487
ENSMUSG00000095506	RNU6-1051P	ENSG00000202341
ENSMUSG00000003206	EBI3	ENSG00000105246
ENSMUSG00000065599		
ENSMUSG00000064992		
ENSMUSG00000087919		
ENSMUSG00000094937		
ENSMUSG00000098998	PVT1_1	ENSG00000276443
ENSMUSG00000092966		
ENSMUSG00000054723	VMAC	ENSG00000187650
ENSMUSG00000049106	DCAF5	ENSG00000139990
ENSMUSG00000034881	TBXA2R	ENSG00000006638
ENSMUSG00000077096		
ENSMUSG00000096817		
ENSMUSG00000090897		
ENSMUSG00000065244	RNU6-1027P	ENSG00000206725
ENSMUSG00000098712		
ENSMUSG00000065574		
ENSMUSG00000065427		
ENSMUSG00000105723		
ENSMUSG00000089189	RNU6-595P	ENSG00000200814
ENSMUSG00000076036		
ENSMUSG00000087917		
ENSMUSG00000059406	TMPRSS9	ENSG00000178297
ENSMUSG00000076014		
ENSMUSG00000020308	TPGS1	ENSG00000141933
